hour,Ws_crop,Ta_crop,P_mean_crop,Rh_crop,e_crop,Hs_crop,Le_crop,Ustar_crop,Fco2_crop,CO2_crop,DR_crop,UR_crop,DLR_crop,ULR_crop,Rn_crop,Rns_crop,Rnl_crop,Alb_crop,Wd_crop
0,1.2483306209150327,23.763408562091506,100.58827425490196,87.33107163398692,2.623927676470588,-8.448710434640523,9.191809571917808,0.13275004901960782,0.004589888157894728,784.3766127385621,-1.2592242385620915,1.2562017647058823,411.35883039215685,435.5729052287582,-26.729500258169935,-2.5154259934640524,-24.21407483660131,0.442118,147.9360217385621
1,1.1884342091503268,23.371416895424836,100.56201028618422,88.95178408496733,2.6161890653594773,-7.09207215131579,6.439701538194445,0.13994114802631577,-0.004735983333333331,798.4911350460526,-1.2420202679738561,1.2232499673202613,410.49166732026146,433.6478630718954,-25.621467156862746,-2.465270232026144,-23.156195751633987,0.149483,148.9338769379085
2,1.1178164379084967,23.05249931372549,100.54178942105263,90.34762431372549,2.6095397450980395,-6.038170398026316,7.122836954861111,0.13245077631578947,0.07065744370860925,801.6484060888157,-1.0999066764705883,1.1917465620915033,410.34004084967324,432.15632875817,-24.107942761437908,-2.291653215686275,-21.816287908496733,0.2382005714285714,145.43579027777778
3,1.0996732777777778,22.79913419607843,100.52987560784314,91.47267777777778,2.6029374575163398,-5.436227480392157,3.5919178965517244,0.1269217222222222,0.1321091019736842,810.6011060882353,-1.056773133986928,1.1911728758169935,410.69365522875813,431.14602091503264,-22.70031131372549,-2.2479459901960785,-20.452365686274508,0.501590125,144.4071117875817
4,1.1023744738562091,22.654886555555557,100.53342900653594,91.85258656862744,2.5901108137254902,-4.8409621176470585,3.8703248986013987,0.12372046732026142,-0.028848341059602656,810.1927007026144,-1.0044225588235294,1.1992317124183005,411.012314379085,430.4423993464052,-21.633739045751636,-2.203654277777778,-19.430084967320262,0.237225625,147.62896485947712
5,1.125169637254902,22.56306941503268,100.55532889215687,92.02125918300653,2.57929595751634,-5.893962369281046,4.577231517605634,0.12885048692810455,0.059690509868421046,820.8424351447369,1.3625071993464053,1.483975003267974,411.8959562091503,430.0917924836602,-18.31729908496732,-0.12146781699346404,-18.195836274509805,0.36114096341463414,145.3339468627451
6,1.2294985294117646,22.729434689542483,100.59574840397352,91.65678490196079,2.5920868954248366,-4.949883052980132,11.993696706293706,0.13472989735099336,0.012367354304635753,817.3220915165563,40.52758766993464,7.742543921568628,412.8895117647059,432.50428398692816,13.17027268627451,32.785043738562095,-19.61477222222222,0.2315569013157895,141.63608033006537
7,1.5724175490196077,23.75697120915033,100.64461170065789,88.33805800653595,2.6471718006535947,0.7032397302631579,36.16166090625,0.15862335197368418,-0.1474768125,775.4746749342106,140.41725138235293,23.07556353267974,416.4113679738562,441.0686816993464,92.68437210457516,117.3416878496732,-24.657313725490194,0.16952313071895425,144.77007685947711
8,2.0156421241830063,24.976989215686274,100.66821606907895,82.59049104575163,2.649471526143791,11.187005703947369,75.33294047945205,0.2027027664473684,-0.2218716019736842,742.1640760822369,270.2516188464052,39.15754782026144,419.82011176470587,450.9856640522876,199.92852266013074,231.0940710261438,-31.165552287581697,0.14894861437908496,154.28282276797387
9,2.261749336601307,26.094801307189545,100.67846285197368,77.2417753267974,2.6377379150326794,26.068611842105263,122.89377306896553,0.2372778092105263,-0.3595003973509934,722.2858721026489,405.8605609248366,53.630879990196085,425.8589888888889,460.7352382352941,317.3534287026144,352.2296809346405,-34.876249346405224,0.1332065359477124,156.56334009150328
10,2.440066816993464,26.98931803921569,100.67718734539474,73.14685637254902,2.623233683006536,35.55498057236842,163.8060220787671,0.2521940625,-0.4385564205298013,713.0687291986754,512.1804606862745,66.80880658823529,431.12086535947714,468.574955882353,407.91756369607845,445.37165409803924,-37.454090522875816,0.13011619934640523,160.96800230718952
11,2.472417316993464,27.703362745098037,100.64555339473685,70.016047124183,2.6131910326797385,38.135350983552634,193.1391269623288,0.2597681019736842,-0.4667678355263158,712.4767925953947,562.2799656862745,72.82630314379085,436.0828767973856,474.5673666666667,450.9691714150327,489.4536625424837,-38.48448986928104,0.12842461111111111,159.87843687908497
12,2.4926869183006537,28.238917875816995,100.60181650986841,67.75562434640523,2.6027250261437906,36.63587851644737,205.4070741369863,0.25639765789473684,-0.4221123453947369,703.9564975,552.8318558496732,70.7681575882353,438.9549173202615,478.25159150326795,442.76703297385615,482.06369826143793,-39.29667418300654,0.13032480065359475,157.25921990522875
13,2.538873209150327,28.65975447712418,100.55280563245033,66.17537522875817,2.5965279999999997,36.006488758278145,218.05595683219178,0.26542864238410596,-0.40584099337748347,698.6264171423841,565.094326993464,68.95340013071896,441.1240575163399,480.14134379084965,457.12364697385624,496.1409268627451,-39.01728627450981,0.12445638562091502,155.32150730392158
14,2.516493519607843,28.876747189542485,100.5077675,65.07582918300653,2.5738749379084966,25.926611291390728,198.84549432876713,0.25799211258278143,-0.3385933013245033,689.8560932649007,494.795355130719,60.91960869607843,441.14774084967314,478.94008921568627,396.0834004509804,433.8757464346405,-37.79234836601307,0.12467167320261435,157.89036795424838
