hour,Ws_grass,Ta_grass,P_mean_grass,Rh_grass,e_grass,Hs_grass,Le_grass,Ustar_grass,Fco2_grass,CO2_grass,DR_grass,UR_grass,DLR_grass,ULR_grass,Rn_grass,Rns_grass,Rnl_grass,Alb_grass,Wd_grass
11,2.531089633986928,28.16153594771242,100.32392231333334,67.7859477124183,2.579735294117647,153.30345096333332,145.23183048905108,0.31487344,-0.2006483723404255,663.6914713992805,581.1576427941177,80.00957608169935,432.9959078431373,492.7263477124183,441.4176349640523,501.1480667124183,-59.73043986928104,0.13646643464052285,155.10687185620915
12,2.583866973856209,28.749411764705883,100.27196900993377,65.3737908496732,2.564735294117647,159.9212918311258,152.72057927536233,0.3193786357615894,-0.21511751063829787,657.076500176259,600.5688514705882,82.38815188235294,436.330622875817,497.8746712418301,456.6366631045752,518.1806995882353,-61.54404836601307,0.1367826111111111,154.66717069607844
13,2.577448088235294,29.157614379084965,100.20513180333333,63.75735294117647,2.5530915032679737,153.47517693999998,157.62535840357143,0.31946425,-0.19480213986013986,656.0083325950704,580.9557284640523,81.18542561764706,438.25259803921574,499.6943444444444,438.3285620359477,499.7703028464052,-61.441746405228756,0.13931695751633985,157.53969890196078
14,2.5313931274509804,29.345849673202615,100.14461303,62.938300653594766,2.5384183006535945,126.47745556666666,144.62729078571428,0.31293209666666666,-0.1645339965034965,648.3891979859155,505.9935059803921,73.34731795424837,438.5290264705882,497.17550294117643,373.99971921241826,432.64618802614376,-58.64647647058824,0.14289542156862745,151.18979086928107
15,2.4813643333333335,29.39091503267974,100.10064548666666,62.673496732026145,2.530967320261438,96.08049778,123.64659246785715,0.3019901733333333,-0.12829008450704224,649.8819215248227,409.83831320261436,63.315056300653595,437.03272843137256,492.77357418300653,290.7824110130719,346.5232569019608,-55.740845751633984,0.15113100326797385,148.8405279607843
16,2.3443798496732025,29.117091503267975,100.07675967880795,63.6759477124183,2.53321568627451,58.71771498675497,93.27154716549296,0.282772059602649,-0.08804807394366197,646.0528507092199,293.08308241830065,49.396459954248364,434.5087705882353,485.1727267973857,193.02266694117648,243.68662246405228,-50.66395620915033,0.1617489477124183,145.7508678986928
17,2.118171320261438,28.574150326797387,100.07484960596027,65.5771568627451,2.5357973856209153,20.945495466887415,62.69897829720279,0.24544553642384104,-0.03163994055944056,651.9909091923078,164.8120284379085,31.54279639542484,430.70020392156863,474.98884411764703,88.98059756862746,133.26923204248368,-44.28864019607843,0.18408677124183007,143.45943595424836
18,1.7893338333333333,27.620686274509804,100.09305524671053,69.34862745098039,2.5529117647058825,-3.4232074309210523,27.472376715277775,0.19459704934210525,0.05452348958333333,657.8226019305555,58.724610633986934,12.971432964052287,425.154695751634,462.2575620915033,8.650314581699346,45.753177669934644,-37.10286633986928,0.21220086551724138,143.39399614379084
19,1.4676509052287583,26.29264705882353,100.14554979276315,74.7487908496732,2.5732320261437907,-8.890926667763159,10.51392236013986,0.15845479934210524,0.057663727586206893,681.4514837241379,4.044287764705882,1.626716277777778,419.5585895424837,449.1874555555555,-27.211290375816997,2.4175715,-29.6288660130719,0.23525856547619045,135.9786420751634
20,1.353537431372549,25.43908496732026,100.20652406907895,78.2497385620915,2.5729248366013073,-11.021373950657894,9.346559128472222,0.1490168289473684,0.06799812068965516,697.285598237931,-1.3664122320261438,1.0013600522875816,415.9912990196078,443.25743071895425,-29.63389391503268,-2.367772297385621,-27.266131699346403,0.176368,128.38382319281044
21,1.350390114379085,24.978169934640523,100.25922771710526,80.57457516339869,2.5860098039215687,-10.197679934210527,7.2061865,0.14348745394736842,0.06872736458333334,703.4430632152778,-1.0917383823529412,1.075287725490196,414.58587091503273,440.642291503268,-28.22345281699346,-2.1670261013071896,-26.056420588235294,0.3998564,131.96764695751634
22,1.3490538954248366,24.62450980392157,100.27818391447369,82.23866013071896,2.5919771241830065,-9.849424746710527,5.646658880952382,0.14474281578947368,0.03990884374999999,709.6167414270834,-1.1005130294117647,1.06258127124183,412.4814094771242,438.7992830065359,-28.480968464052285,-2.163094294117647,-26.317873529411763,0.7351078333333333,136.53851414379085
23,1.319489705882353,24.206013071895423,100.27385091830065,84.14839869281046,2.5894379084967323,-9.736211049019607,5.684450527027027,0.1398162222222222,0.060137659722222216,711.82697203125,-1.2360073954248365,1.0867330816993463,409.9942993464052,436.62197549019606,-28.950416421568626,-2.3227404673202616,-26.62767614379085,0.56252,138.52636698366013
