hour,Ws_grass,Ta_grass,P_mean_grass,Rh_grass,e_grass,Hs_grass,Le_grass,Ustar_grass,Fco2_grass,CO2_grass,DR_grass,UR_grass,DLR_grass,ULR_grass,Rn_grass,Rns_grass,Rnl_grass,Alb_grass,Wd_grass
0,1.2994478071895426,23.778333333333332,100.24886727302632,85.82993464052288,2.579921568627451,-9.052299046052632,6.2293882364864865,0.13921130263157894,0.06614110915492957,716.4915441725352,-1.214208274509804,1.126979549019608,407.9269519607843,434.40227320261437,-28.816511879084963,-2.3411878071895424,-26.475321241830066,0.4533805,144.73999460784313
1,1.262018617647059,23.428823529411765,100.22187958223684,87.28745098039215,2.572532679738562,-8.003727496710527,4.135514717241379,0.13992645723684208,0.0533302852112676,718.0063943133803,-1.181461591503268,1.107866111111111,407.25492385620913,432.7373395424837,-27.771747330065363,-2.2893276862745098,-25.48241568627451,0.26006833333333335,147.12184910457515
2,1.1430581895424836,23.09575163398693,100.19939049671052,88.81699346405229,2.5689150326797385,-6.796562141447369,3.806657910344828,0.13069319736842103,0.05886847183098592,719.9845590563381,-1.057226091503268,1.09999272875817,407.13374803921573,431.1633058823529,-26.18677677124183,-2.1572188169934643,-24.029557843137255,0.2512557,137.87419111764706
3,1.1573219575163398,22.887745098039215,100.18859586513157,89.58424836601307,2.558983660130719,-6.345428309210526,4.496414773972602,0.12878244736842104,0.023041787234042543,728.0413529392857,-1.0449302189542484,1.109206114379085,407.2177437908497,430.3898849673203,-25.326278702614378,-2.154136336601307,-23.172141176470586,0.29475324999999997,138.47249148039214
4,1.14976318627451,22.71888888888889,100.19505815359477,90.265,2.551617647058823,-6.39264256862745,4.386227475352113,0.1270438267973856,0.041095024647887314,736.641426893617,-0.9945463725490196,1.0300360359477125,407.28437777777776,429.73206013071893,-24.472264316993467,-2.0245823921568626,-22.447682352941175,0.3848993333333333,130.7360999640523
5,1.1410788104575165,22.545816993464054,100.21629024834436,90.8962091503268,2.541797385620915,-6.382200201986755,3.8889503057553956,0.13024897682119205,0.03131248920863309,736.714000189781,1.091823911764706,1.3318252581699346,407.681937254902,429.2598843137255,-21.817952176470587,-0.2400013366013072,-21.57794705882353,0.371010725,130.92984458169937
6,1.2102165849673203,22.71166666666667,100.26005208389262,90.52699346405228,2.554248366013072,-2.9449348590604028,12.349709341726617,0.14254106040268455,0.04366982746478873,738.1405905642857,39.72720029738562,7.435691836601308,408.01363104575165,432.50644313725485,7.798696088235294,32.29150846732026,-24.492812091503268,0.2235517810457516,142.28842624183008
7,1.554706163398693,23.81781045751634,100.30493478807946,86.68460784313726,2.6010000000000004,12.762996937086093,34.94502131205674,0.1849088178807947,0.030085609154929575,718.0622967446808,141.8681661013072,23.959320147058822,411.30807843137256,443.00853202614377,86.20839438235295,117.90884595424836,-31.70045359477124,0.1673697973856209,145.28778134640524
8,1.9477946862745097,25.13624183006536,100.33826309731545,81.05316993464052,2.6167712418300653,50.20013970805369,70.40129214084507,0.23547941946308723,-0.10161799295774647,694.9387530531915,278.72525756535947,44.24554107843137,416.17867287581697,457.4081532679739,193.2502322385621,234.47971648692808,-41.22948039215686,0.15576624183006535,150.46670270588237
9,2.264274683006536,26.36699346405229,100.34246709731543,75.43666666666667,2.605888888888889,95.1998073590604,98.04579807986111,0.2760472382550335,-0.19015816666666666,678.7249108535715,409.444100496732,61.04644364705882,422.7573663398693,471.9863918300654,299.1686300163399,348.39765684967324,-49.22902549019608,0.1470487973856209,150.90013284313724
10,2.484171251633987,27.36042483660131,100.34767944256757,71.07810457516341,2.5919477124183006,133.38247294932432,123.66301718794325,0.29894291554054053,-0.20198317021276596,671.8741264244604,520.5882016013071,73.84795685620915,428.0841539215686,484.0186411764706,390.8057599673203,446.74024474509804,-55.93448725490196,0.14087718954248366,153.6792806862745
