hour,Ws_26_5m,Ta_26_5m,P_mean_26_5m,Rh_26_5m,e_26_5m,Hs_26_5m,Le_26_5m,Ustar_26_5m,Fco2_26_5m,CO2_26_5m,DR_26_5m,UR_26_5m,DLR_26_5m,ULR_26_5m,Rn_26_5m,Rns_26_5m,Rnl_26_5m,Alb_26_5m,Wd_26_5m,e_star_26_5m,q_26_5m,RH_26_5m,heat_index_26_5m
0,2.151712509933775,298.72993464052286,100114.61009539473,71.99382352941177,2388.637254901961,11.440350190789474,15.142384856115108,0.3759685690789474,0.4314334726027397,755.0079195202703,-2.423460784313725,1.2983986928104576,415.3235294117647,455.4643790849673,-43.86162418300653,-3.7218529411764703,-40.139718954248366,,134.53183447019867,3279.9411467636232,0.015203045100139503,72.82561326622803,3866.1983301557225
1,2.114426493421053,298.37833333333333,100089.82286754968,73.3397385620915,2389.045751633987,9.885464708609272,14.896524389285716,0.3687069668874172,0.2798362746478873,758.7454562040816,-2.3143986928104576,1.2546797385620916,413.836274509804,453.27843137254905,-43.01219934640523,-3.5690620915032683,-39.44272549019608,,135.4460382138158,3212.1696483032965,0.015209566406552862,74.37483113309122,3929.6661150981195
2,2.006272066225166,298.06401960784314,100067.25392384107,74.61254901960784,2388.421568627451,9.39113719205298,12.950255846428572,0.3514516622516556,0.2613817797202797,757.1116318356643,-2.2616895424836603,1.2885980392156862,412.66633986928105,451.30392156862746,-42.191519607843134,-3.550375816993464,-38.641218954248366,0.04,138.86100176490066,3152.6222388152373,0.015209008746990623,75.7598401489747,3989.9963851811444
3,1.929868715231788,297.79366013071893,100055.6778178808,75.85624183006536,2391.59477124183,8.346322353333333,12.124502339285714,0.3386762533333333,0.244820088028169,761.9394264405595,-2.202078431372549,1.3007124183006538,411.83431372549023,449.62745098039215,-41.293895424836606,-3.5027777777777773,-37.79149346405229,0.41,137.22083673178807,3102.1745049565307,0.01523151501869972,77.09414049469608,4049.946566666202
4,1.849329158783784,297.5408496732026,100055.65858724831,76.95153594771242,2391.957516339869,8.150391969798658,14.370351264492754,0.3252198523489932,0.2826444321428571,768.24622225,-2.191549019607843,1.327127450980392,411.5415032679738,448.068954248366,-40.04840522875817,-3.5187254901960783,-36.52914379084967,0.2125,130.75715535135134,3055.6397955561483,0.015233884840010186,78.28008784996582,4102.0415037195135
5,1.867805695945946,297.3216339869281,100072.08680666666,77.76366013071896,2387.957516339869,8.128404070469799,12.022316011029412,0.3151630167785235,0.2225403152173913,770.3909067978724,-0.2435718954248366,1.5769640522875816,411.2745098039216,446.75424836601314,-37.30083660130719,-1.820562091503268,-35.48041176470588,0.4106875,124.92350002027028,3015.7829590988194,0.015205229201039538,79.18200841128971,4139.424594567304
6,1.93314524,297.2501633986928,100108.66812751678,78.11287581699347,2389.6307189542486,10.234846174496644,17.771607563432834,0.3279610637583892,0.31613,774.4069790296296,34.083212418300654,5.68617320261438,410.5869281045752,447.17189542483663,-8.189911764705881,28.39681045751634,-36.58726797385621,0.2061114864864865,130.09088588999998,3002.886904638714,0.015210447693780728,79.57777947823685,4156.269657690588
7,2.071134693877551,297.50826797385616,100151.74451360543,77.12084967320261,2392.098039215686,25.18364357482993,31.48214728515625,0.3692272448979591,0.6018413863636364,777.4017941818182,126.64219607843138,15.941529411764709,412.3552287581699,452.2245098039216,70.82863071895426,110.69960784313726,-39.86971895424836,0.1353178807947019,135.28375534013605,3049.6870188625976,0.015219827751545118,78.43749291059501,4110.305537331936
8,2.3604938862068967,298.1414379084967,100181.09198958332,74.47486928104576,2390.754901960785,53.76808585862069,53.11928938076923,0.4523891137931035,0.8072437786259542,773.1664338053436,246.43786928104572,29.20082026143791,417.9035947712418,461.2607843137255,173.8772320261438,217.23785620915032,-43.35957843137256,0.1217581699346405,139.2773809724138,3167.1992246470527,0.015206508059044478,75.48482846787785,3984.957781379127
9,2.684939762237762,298.89660130718954,100198.59486896552,70.97323529411766,2372.366013071895,84.02895478671329,69.26656729007634,0.4993193402777777,0.8506931136363636,763.3494237631578,369.1496732026144,42.22159477124183,422.9539215686275,471.66993464052285,278.2088137254902,326.9237450980392,-48.71626143790849,0.1160986842105263,142.08779354895103,3312.4994219113314,0.01508400842379829,71.61860911972707,3814.6030911044522
