,0
0,23.212196892088343
1,22.87204048661664
2,22.6010025409754
3,22.411122431979322
4,22.277733601420437
5,22.20186339957513
6,22.632060777785057
7,24.14437200622666
8,25.87548236092306
9,27.5157426806706
10,28.810590882145334
11,29.777990804474086
12,30.370313513192286
13,30.664557187346475
14,30.46098483523457
15,30.096066928004348
16,29.31395107463004
17,28.2790685387356
18,26.89550496976574
19,25.354363030908814
20,24.524809881555484
21,24.14068870483436
22,23.831859854473805
23,23.518825345250832
