hour,Ws_crop,Ta_crop,P_mean_crop,Rh_crop,e_crop,Hs_crop,Le_crop,Ustar_crop,Fco2_crop,CO2_crop,DR_crop,UR_crop,DLR_crop,ULR_crop,Rn_crop,Rns_crop,Rnl_crop,Alb_crop,Wd_crop,e_star_crop,q_crop,RH_crop,heat_index_crop
0,1.2483306209150329,296.9134085620915,100588.27425490196,87.33107163398692,2623.9276764705883,-8.448710434640523,9.191809571917808,0.1327500490196078,0.0045898881578947,784.3766127385621,-1.2592242385620915,1.2562017647058823,411.3588303921569,435.5729052287582,-26.72950025816993,-2.5154259934640524,-24.21407483660131,0.442118,147.9360217385621,2942.7685616877498,0.016659969384453983,89.16527485823423,4656.239856360734
1,1.1884342091503268,296.5214168954248,100562.01028618422,88.95178408496733,2616.1890653594774,-7.09207215131579,6.439701538194445,0.1399411480263157,-0.0047359833333333,798.4911350460526,-1.242020267973856,1.2232499673202613,410.4916673202615,433.6478630718954,-25.621467156862742,-2.465270232026144,-23.156195751633987,0.149483,148.9338769379085,2874.114276881555,0.01661397677175852,91.0259235829019,4730.8618118866525
2,1.1178164379084967,296.20249931372547,100541.78942105264,90.34762431372548,2609.5397450980395,-6.038170398026316,7.122836954861111,0.1324507763157894,0.0706574437086092,801.6484060888157,-1.0999066764705885,1.191746562091503,410.3400408496733,432.15632875817,-24.107942761437908,-2.291653215686275,-21.816287908496733,0.2382005714285714,145.43579027777778,2819.2938674460966,0.016574047127700265,92.56004757893272,4795.556866657789
3,1.0996732777777778,295.94913419607843,100529.87560784313,91.47267777777778,2602.93745751634,-5.436227480392157,3.5919178965517244,0.1269217222222222,0.1321091019736842,810.6011060882353,-1.056773133986928,1.1911728758169935,410.6936552287581,431.14602091503264,-22.70031131372549,-2.2479459901960785,-20.452365686274508,0.501590125,144.4071117875817,2776.394463957203,0.01653301051943245,93.75243652540519,4847.6441780750065
4,1.1023744738562091,295.8048865555555,100533.42900653594,91.85258656862744,2590.11081372549,-4.8409621176470585,3.870324898601399,0.1237204673202614,-0.0288483410596026,810.1927007026144,-1.0044225588235294,1.1992317124183005,411.012314379085,430.4423993464052,-21.63373904575164,-2.203654277777778,-19.430084967320266,0.237225625,147.62896485947712,2752.2261735843317,0.01644878850199619,94.10966433591784,4862.762162953349
5,1.125169637254902,295.71306941503263,100555.32889215687,92.02125918300652,2579.29595751634,-5.893962369281046,4.577231517605634,0.1288504869281045,0.059690509868421,820.8424351447369,1.3625071993464053,1.483975003267974,411.8959562091503,430.0917924836602,-18.31729908496732,-0.121467816993464,-18.195836274509805,0.3611409634146341,145.3339468627451,2736.938323446561,0.01637463813875176,94.2401929711114,4868.310755513685
6,1.2294985294117646,295.87943468954245,100595.74840397351,91.6567849019608,2592.0868954248367,-4.949883052980132,11.993696706293706,0.1347298973509933,0.0123673543046357,817.3220915165563,40.52758766993464,7.742543921568628,412.8895117647059,432.50428398692816,13.17027268627451,32.785043738562095,-19.61477222222222,0.2315569013157895,141.63608033006537,2764.69346981858,0.01645120217078433,93.75675544945422,4854.983679750501
7,1.5724175490196075,296.9069712091503,100644.61170065787,88.33805800653595,2647.171800653595,0.7032397302631579,36.16166090625,0.1586233519736841,-0.1474768125,775.4746749342106,140.41725138235293,23.07556353267974,416.4113679738562,441.0686816993464,92.68437210457516,117.3416878496732,-24.657313725490194,0.1695231307189542,144.77007685947711,2941.629654977634,0.01680187627030514,89.9899753245356,4712.138873703405
8,2.0156421241830063,298.12698921568625,100668.21606907896,82.59049104575163,2649.471526143791,11.187005703947367,75.33294047945205,0.2027027664473684,-0.2218716019736842,742.1640760822369,270.2516188464052,39.15754782026144,419.8201117647058,450.9856640522876,199.92852266013077,231.0940710261438,-31.165552287581697,0.1489486143790849,154.28282276797387,3164.4742477944023,0.01681281776201058,83.72548861759384,4438.059584544856
9,2.261749336601307,299.2448013071895,100678.46285197367,77.2417753267974,2637.737915032679,26.068611842105263,122.89377306896552,0.2372778092105263,-0.3595003973509934,722.2858721026489,405.8605609248366,53.630879990196085,425.8589888888889,460.7352382352941,317.3534287026144,352.2296809346405,-34.876249346405224,0.1332065359477124,156.56334009150328,3381.4304506272206,0.016734606809625227,78.0065701053649,4178.233554864255
10,2.440066816993464,300.13931803921565,100677.18734539475,73.14685637254902,2623.233683006536,35.55498057236842,163.8060220787671,0.2521940625,-0.4385564205298013,713.0687291986754,512.1804606862745,66.80880658823529,431.12086535947714,468.574955882353,407.9175636960785,445.3716540980392,-37.454090522875816,0.1301161993464052,160.96800230718952,3564.273155064593,0.016640342279802822,73.59799793343832,3977.903262450802
11,2.472417316993464,300.853362745098,100645.55339473684,70.016047124183,2613.1910326797383,38.13535098355264,193.1391269623288,0.2597681019736842,-0.4667678355263158,712.4767925953947,562.2799656862745,72.82630314379085,436.0828767973856,474.5673666666667,450.9691714150327,489.4536625424837,-38.48448986928104,0.1284246111111111,159.87843687908497,3716.3488464898,0.016580288214659015,70.31608550817218,3823.9998153701317
