hour,Ws_grass,Ta_grass,P_mean_grass,Rh_grass,e_grass,Hs_grass,Le_grass,Ustar_grass,Fco2_grass,CO2_grass,DR_grass,UR_grass,DLR_grass,ULR_grass,Rn_grass,Rns_grass,Rnl_grass,Alb_grass,Wd_grass,e_star_grass,q_grass,RH_grass,heat_index_grass,d1_grass,d2_grass,d3_grass,delta_RH_grass_26_5m
0,1.2994478071895426,296.9283333333333,100248.86727302632,85.82993464052288,2579.921568627451,-9.052299046052632,6.229388236486487,0.1392113026315789,0.0661411091549295,716.4915441725352,-1.214208274509804,1.126979549019608,407.9269519607843,434.4022732026144,-28.816511879084963,-2.3411878071895424,-26.475321241830063,0.4533805,144.73999460784313,2945.410556200597,0.016430106868799758,87.59123794121913,74.43791655428976,-0.000297382100966619,177.09025079931675,0.0003395112433120156,-14.765624674991102
1,1.262018617647059,296.57882352941175,100221.87958223684,87.28745098039215,2572.5326797385624,-8.003727496710527,4.135514717241379,0.139926457236842,0.0533302852112676,718.0063943133803,-1.181461591503268,1.107866111111111,407.25492385620913,432.7373395424837,-27.771747330065363,-2.2893276862745098,-25.48241568627451,0.2600683333333333,147.12184910457515,2884.0803854608153,0.01638633925934069,89.19767606711578,73.16906050250817,-0.00030927597065871613,173.86803633781918,0.00034673097360295006,-14.822844934024559
2,1.1430581895424836,296.2457516339869,100199.39049671052,88.81699346405229,2568.9150326797385,-6.796562141447369,3.806657910344828,0.130693197368421,0.0588684718309859,719.9845590563381,-1.057226091503268,1.09999272875817,407.1337480392157,431.1633058823529,-26.18677677124183,-2.1572188169934643,-24.02955784313725,0.2512557,137.87419111764706,2826.674814023722,0.01636645875923739,90.88116609433871,71.88450990702155,-0.0003215126325938107,170.84353138969726,0.00035377256522002175,-15.121325945364006
3,1.1573219575163398,296.0377450980392,100188.59586513156,89.58424836601307,2558.983660130719,-6.345428309210526,4.496414773972602,0.128782447368421,0.0230417872340425,728.0413529392857,-1.0449302189542484,1.109206114379085,407.2177437908497,430.3898849673203,-25.326278702614378,-2.154136336601307,-23.172141176470586,0.2947532499999999,138.47249148039214,2791.332668240729,0.016303330522906417,91.67605456871428,71.10683644969365,-0.00032843113116464974,168.97731450039802,0.000358251816910903,-14.5819140740182
4,1.14976318627451,295.8688888888889,100195.05815359476,90.265,2551.6176470588234,-6.39264256862745,4.386227475352113,0.1270438267973856,0.0410950246478873,736.641426893617,-0.9945463725490196,1.0300360359477123,407.28437777777776,429.7320601307189,-24.472264316993467,-2.024582392156862,-22.44768235294117,0.3848993333333333,130.7360999640523,2762.926820235166,0.016254099284471163,92.351980818719,70.45036739137805,-0.00033425416895717304,167.47503087841667,0.00036193502943189976,-14.071892968753176
5,1.1410788104575165,295.695816993464,100216.29024834436,90.8962091503268,2541.797385620915,-6.382200201986755,3.888950305755396,0.130248976821192,0.031312489208633,736.714000189781,1.091823911764706,1.3318252581699346,407.681937254902,429.2598843137255,-21.817952176470587,-0.2400013366013072,-21.57794705882353,0.371010725,130.92984458169937,2734.074030036709,0.016186395521686728,92.96739436081721,69.78819223837633,-0.0003400324692728565,165.94695620636182,0.00036575454395672437,-13.785385949527495
6,1.2102165849673203,295.8616666666666,100260.05208389262,90.52699346405228,2554.248366013072,-2.9449348590604028,12.349709341726616,0.1425410604026845,0.0436698274647887,738.1405905642857,39.72720029738562,7.435691836601308,408.0136310457517,432.5064431372549,7.798696088235294,32.29150846732026,-24.492812091503268,0.2235517810457516,142.28842624183008,2761.7175106056,0.016260471980226912,92.48767682444706,70.35336348100036,-0.0003348918796700753,167.41102829502904,0.0003620935146914125,-12.909897346210215
7,1.554706163398693,296.9678104575163,100304.93478807947,86.68460784313726,2601.0000000000005,12.762996937086092,34.94502131205674,0.1849088178807947,0.0300856091549295,718.0622967446808,141.8681661013072,23.959320147058826,411.30807843137256,443.00853202614377,86.20839438235295,117.90884595424836,-31.70045359477124,0.1673697973856209,145.28778134640524,2952.4088073489625,0.01655841193611156,88.09755591860261,74.41350483377674,-0.000298392132211892,177.45734453214243,0.00033870648180931405,-9.660063008007597
8,1.9477946862745097,298.28624183006536,100338.26309731543,81.05316993464052,2616.7712418300653,50.20013970805369,70.40129214084507,0.2354794194630872,-0.1016179929577464,694.9387530531915,278.72525756535947,44.24554107843137,416.17867287581697,457.4081532679739,193.2502322385621,234.47971648692808,-41.22948039215686,0.1557662418300653,150.46670270588237,3194.621990154215,0.016655821370649054,81.91176451846015,78.96188694663599,-0.00025640518587460794,190.09133902336023,0.0003130260804195262,-6.426936050582299
9,2.264274683006536,299.5169934640523,100342.46709731543,75.43666666666667,2605.888888888889,95.1998073590604,98.04579807986111,0.2760472382550335,-0.1901581666666666,678.7249108535715,409.444100496732,61.04644364705882,422.7573663398693,471.9863918300654,299.1686300163399,348.39765684967324,-49.22902549019608,0.1470487973856209,150.90013284313724,3436.181908591456,0.01658399463742576,75.83675597538675,82.64284769690832,-0.00022070064389132825,202.56064996671066,0.000291020681268273,-4.218146855659683
