,UHIMinimum T 2000,UHIMinimum T 2001,UHIMinimum T 2002,UHIMinimum T 2003,UHIMinimum T 2004,UHIMinimum T 2005,UHIMinimum T 2006,UHIMinimum T 2007,UHIMinimum T 2008,UHIMinimum T 2009,UHIMinimum T 2010,UHIMinimum T 2011,UHIMinimum T 2012,UHIMinimum T 2013,UHIMinimum T 2014,UHIMinimum T 2015,UHIMinimum T 2016,Mean
0,1.6666666666666643,4.444444444444445,5.0,0.5555555555555536,1.1111111111111107,3.333333333333332,2.777777777777775,7.222222222222225,2.777777777777775,2.7777777777777786,1.6666666666666643,2.777777777777775,3.333333333333332,1.6666666666666679,1.1111111111111107,3.8888888888888893,2.777777777777775,2.8758169934640514
1,1.6666666666666643,2.2222222222222214,3.333333333333332,1.1111111111111107,2.2222222222222214,2.777777777777775,2.2222222222222214,6.666666666666668,0.5555555555555536,2.2222222222222214,1.1111111111111107,3.333333333333332,4.444444444444443,3.8888888888888893,0.5555555555555571,5.0,0.5555555555555536,2.5816993464052276
2,1.6666666666666679,1.6666666666666679,1.1111111111111107,0.5555555555555571,3.333333333333332,3.8888888888888893,3.333333333333332,3.8888888888888893,3.3333333333333357,2.7777777777777786,1.1111111111111107,1.1111111111111107,3.8888888888888893,2.7777777777777786,1.1111111111111107,3.8888888888888893,1.1111111111111107,2.3856209150326797
3,2.222222222222225,1.6666666666666643,2.777777777777775,0.5555555555555536,1.6666666666666643,3.333333333333332,5.555555555555554,5.555555555555554,5.0,5.0,0.0,3.333333333333332,3.3333333333333357,4.444444444444443,1.6666666666666679,1.6666666666666679,3.333333333333332,3.006535947712418
4,3.8888888888888893,3.333333333333332,1.1111111111111107,1.1111111111111107,1.1111111111111107,1.1111111111111107,6.111111111111111,2.2222222222222214,3.8888888888888893,4.444444444444443,1.6666666666666679,5.0,1.6666666666666679,6.111111111111109,3.3333333333333357,5.0,3.3333333333333357,3.202614379084967
5,3.8888888888888893,3.8888888888888893,0.5555555555555571,2.222222222222225,3.8888888888888893,2.777777777777775,5.555555555555554,2.2222222222222214,2.777777777777775,3.3333333333333357,3.8888888888888857,3.8888888888888857,3.8888888888888893,2.7777777777777786,3.333333333333332,1.6666666666666679,1.6666666666666643,3.071895424836601
6,1.1111111111111107,3.8888888888888893,3.333333333333332,3.333333333333332,4.444444444444445,3.333333333333332,0.5555555555555571,5.0,2.222222222222225,4.444444444444443,7.222222222222223,2.2222222222222214,3.8888888888888893,1.6666666666666679,3.8888888888888893,1.1111111111111107,3.8888888888888893,3.2679738562091503
7,2.777777777777775,3.3333333333333357,4.999999999999998,1.1111111111111107,-0.5555555555555554,-0.5555555555555571,1.6666666666666643,2.777777777777775,2.7777777777777786,4.444444444444443,5.555555555555557,3.3333333333333357,4.444444444444443,1.1111111111111107,5.0,4.444444444444446,4.444444444444446,3.0065359477124183
8,2.2222222222222214,3.333333333333332,6.111111111111111,0.5555555555555536,0.5555555555555554,1.6666666666666643,3.8888888888888893,2.2222222222222214,3.333333333333332,2.2222222222222214,3.8888888888888893,5.555555555555557,5.0,2.2222222222222214,5.555555555555555,4.444444444444443,5.0,3.398692810457516
9,2.2222222222222214,1.1111111111111107,4.444444444444443,1.1111111111111107,-1.1111111111111107,1.6666666666666679,2.7777777777777786,1.1111111111111107,4.444444444444443,1.1111111111111107,1.6666666666666679,4.444444444444443,2.2222222222222214,4.444444444444443,3.8888888888888893,1.1111111111111107,1.6666666666666679,2.2549019607843133
10,3.333333333333332,0.5555555555555536,2.2222222222222214,2.2222222222222214,-4.444444444444446,2.777777777777775,4.444444444444446,2.2222222222222214,2.777777777777777,3.333333333333332,4.444444444444446,5.555555555555557,2.2222222222222214,4.444444444444443,5.555555555555557,0.0,1.6666666666666679,2.549019607843137
11,0.5555555555555536,0.5555555555555536,3.3333333333333357,2.7777777777777786,2.2222222222222214,2.7777777777777786,3.8888888888888875,6.111111111111111,2.777777777777777,2.2222222222222214,1.1111111111111107,6.111111111111111,3.333333333333332,3.8888888888888857,0.5555555555555571,3.8888888888888893,1.6666666666666679,2.810457516339869
12,0.5555555555555536,1.6666666666666679,3.8888888888888893,2.2222222222222214,2.222222222222225,1.6666666666666679,6.111111111111111,5.0,4.444444444444443,1.1111111111111107,2.2222222222222214,5.555555555555557,5.0,2.2222222222222214,2.7777777777777786,4.444444444444446,2.2222222222222214,3.1372549019607843
13,1.1111111111111107,3.8888888888888893,1.6666666666666679,3.333333333333332,1.6666666666666643,2.2222222222222214,3.333333333333332,7.222222222222223,4.444444444444445,3.3333333333333357,2.7777777777777786,2.2222222222222214,3.8888888888888857,2.777777777777777,2.222222222222223,5.555555555555554,1.6666666666666643,3.137254901960784
14,2.7777777777777786,3.3333333333333357,1.1111111111111107,3.8888888888888893,2.2222222222222214,1.6666666666666679,2.7777777777777786,5.0,2.7777777777777786,3.8888888888888893,1.1111111111111107,2.7777777777777786,3.333333333333332,6.666666666666666,4.444444444444446,5.0,1.1111111111111107,3.1699346405228765
15,5.0,5.0,1.1111111111111143,1.6666666666666679,3.3333333333333357,1.1111111111111107,4.444444444444446,3.333333333333332,4.444444444444445,5.0,2.2222222222222214,2.2222222222222214,4.444444444444446,7.222222222222223,5.555555555555554,4.444444444444443,1.1111111111111107,3.6274509803921573
16,2.777777777777777,3.333333333333332,2.7777777777777786,1.1111111111111143,4.444444444444446,1.1111111111111107,3.333333333333332,2.7777777777777786,3.333333333333334,5.0,2.2222222222222214,4.444444444444446,5.555555555555554,6.111111111111111,3.8888888888888893,2.7777777777777786,0.0,3.235294117647059
