,Minimum T 2000,Minimum T 2001,Minimum T 2002,Minimum T 2003,Minimum T 2004,Minimum T 2005,Minimum T 2006,Minimum T 2007,Minimum T 2008,Minimum T 2009,Minimum T 2010,Minimum T 2011,Minimum T 2012,Minimum T 2013,Minimum T 2014,Minimum T 2015,Minimum T 2016,Mean
0,21.666666666666668,15.555555555555555,21.11111111111111,22.77777777777778,22.77777777777778,20.0,25.555555555555557,18.333333333333332,21.666666666666668,18.88888888888889,20.555555555555557,21.666666666666668,21.666666666666668,19.444444444444443,18.88888888888889,19.444444444444443,21.666666666666668,20.686274509803923
1,21.666666666666668,15.0,21.666666666666668,22.77777777777778,22.77777777777778,20.555555555555557,26.11111111111111,19.444444444444443,20.555555555555557,20.555555555555557,21.666666666666668,21.11111111111111,20.555555555555557,18.333333333333332,18.333333333333332,17.77777777777778,22.77777777777778,20.686274509803923
2,21.11111111111111,18.333333333333332,20.0,23.333333333333332,21.11111111111111,22.22222222222222,25.555555555555557,21.666666666666668,17.22222222222222,20.0,22.77777777777778,23.333333333333332,21.666666666666668,18.88888888888889,18.333333333333332,17.77777777777778,20.555555555555557,20.816993464052285
3,19.444444444444443,21.666666666666668,20.555555555555557,22.77777777777778,20.555555555555557,22.77777777777778,21.666666666666668,20.555555555555557,16.11111111111111,18.88888888888889,23.88888888888889,21.11111111111111,24.444444444444443,16.666666666666668,16.11111111111111,19.444444444444443,17.77777777777778,20.26143790849673
4,16.11111111111111,20.555555555555557,23.88888888888889,20.0,20.555555555555557,23.333333333333332,18.333333333333332,22.22222222222222,19.444444444444443,20.0,23.333333333333332,18.333333333333332,24.444444444444443,13.333333333333334,17.22222222222222,18.333333333333332,19.444444444444443,19.934640522875817
5,16.11111111111111,21.666666666666668,19.444444444444443,18.333333333333332,12.777777777777779,21.666666666666668,17.77777777777778,22.22222222222222,21.666666666666668,17.22222222222222,20.555555555555557,20.555555555555557,22.77777777777778,18.333333333333332,17.77777777777778,18.88888888888889,22.77777777777778,19.444444444444443
6,22.77777777777778,22.22222222222222,13.88888888888889,20.0,11.666666666666666,21.666666666666668,21.11111111111111,22.77777777777778,18.333333333333332,15.0,15.555555555555555,23.88888888888889,21.11111111111111,20.0,17.77777777777778,20.0,19.444444444444443,19.248366013071898
7,21.666666666666668,24.444444444444443,13.333333333333334,21.11111111111111,12.222222222222221,21.666666666666668,22.77777777777778,26.666666666666668,16.11111111111111,17.77777777777778,17.22222222222222,23.333333333333332,21.666666666666668,21.666666666666668,15.0,17.22222222222222,18.333333333333332,19.54248366013072
8,22.22222222222222,23.88888888888889,13.88888888888889,21.666666666666668,13.88888888888889,20.555555555555557,17.22222222222222,22.77777777777778,15.0,22.22222222222222,20.0,21.11111111111111,21.11111111111111,23.88888888888889,15.555555555555555,17.77777777777778,16.666666666666668,19.379084967320264
9,21.666666666666668,23.88888888888889,15.0,21.11111111111111,18.88888888888889,21.11111111111111,20.0,20.555555555555557,15.0,21.11111111111111,23.88888888888889,20.555555555555557,21.11111111111111,20.555555555555557,17.22222222222222,20.0,23.88888888888889,20.326797385620917
10,20.0,22.77777777777778,17.77777777777778,21.11111111111111,20.555555555555557,20.555555555555557,17.22222222222222,16.11111111111111,14.444444444444445,21.11111111111111,23.333333333333332,18.333333333333332,20.555555555555557,20.0,16.11111111111111,21.666666666666668,25.0,19.803921568627448
11,18.88888888888889,22.77777777777778,19.444444444444443,20.0,20.0,23.333333333333332,14.444444444444445,16.11111111111111,15.555555555555555,21.666666666666668,21.666666666666668,16.666666666666668,20.0,20.555555555555557,19.444444444444443,17.77777777777778,26.11111111111111,19.673202614379086
12,18.88888888888889,19.444444444444443,22.22222222222222,22.77777777777778,19.444444444444443,25.0,12.777777777777779,20.0,15.0,20.0,21.11111111111111,17.22222222222222,18.333333333333332,22.22222222222222,17.22222222222222,16.11111111111111,25.0,19.57516339869281
13,18.333333333333332,18.333333333333332,23.88888888888889,21.11111111111111,17.77777777777778,23.88888888888889,16.666666666666668,15.555555555555555,15.555555555555555,19.444444444444443,18.88888888888889,20.0,20.555555555555557,15.555555555555555,14.444444444444445,13.88888888888889,22.77777777777778,18.627450980392155
14,17.22222222222222,18.333333333333332,23.88888888888889,21.11111111111111,17.22222222222222,23.333333333333332,22.77777777777778,16.11111111111111,16.11111111111111,18.88888888888889,21.666666666666668,19.444444444444443,20.0,11.666666666666666,12.222222222222221,16.11111111111111,22.22222222222222,18.72549019607843
15,17.77777777777778,16.666666666666668,24.444444444444443,19.444444444444443,18.333333333333332,20.555555555555557,18.333333333333332,21.11111111111111,15.555555555555555,17.77777777777778,21.666666666666668,18.88888888888889,18.333333333333332,11.666666666666666,12.777777777777779,16.666666666666668,22.22222222222222,18.366013071895424
16,15.555555555555555,20.0,24.444444444444443,19.444444444444443,16.11111111111111,18.88888888888889,18.88888888888889,23.333333333333332,15.555555555555555,18.88888888888889,22.77777777777778,18.333333333333332,17.77777777777778,12.777777777777779,16.666666666666668,20.0,22.22222222222222,18.92156862745098
17,16.11111111111111,16.666666666666668,24.444444444444443,20.0,18.88888888888889,18.333333333333332,17.22222222222222,16.11111111111111,17.22222222222222,21.11111111111111,20.0,20.0,17.77777777777778,18.333333333333332,17.77777777777778,19.444444444444443,22.77777777777778,18.954248366013072
18,14.444444444444445,17.77777777777778,22.22222222222222,17.77777777777778,21.11111111111111,20.555555555555557,20.555555555555557,16.666666666666668,19.444444444444443,22.22222222222222,20.555555555555557,18.88888888888889,16.11111111111111,16.11111111111111,20.0,22.77777777777778,20.555555555555557,19.281045751633986
