,Mean T 2000,Mean T 2001,Mean T 2002,Mean T 2003,Mean T 2004,Mean T 2005,Mean T 2006,Mean T 2007,Mean T 2008,Mean T 2009,Mean T 2010,Mean T 2011,Mean T 2012,Mean T 2013,Mean T 2014,Mean T 2015,Mean T 2016,Mean
0,26.11111111111111,22.77777777777778,28.33333333333333,25.0,25.55555555555556,25.0,,26.11111111111111,27.22222222222222,24.166666666666668,24.72222222222222,29.444444444444443,26.38888888888889,22.77777777777778,23.88888888888889,25.55555555555556,26.11111111111111,25.594002306805073
1,25.55555555555556,22.77777777777778,29.444444444444443,26.11111111111111,26.666666666666668,26.944444444444443,,27.22222222222222,25.27777777777778,23.88888888888889,25.0,28.33333333333333,26.38888888888889,24.444444444444443,21.666666666666668,25.0,26.11111111111111,25.69780853517878
2,25.0,24.444444444444443,27.22222222222222,26.666666666666668,26.11111111111111,27.77777777777778,,28.61111111111111,23.33333333333333,24.72222222222222,26.666666666666668,26.38888888888889,27.5,22.22222222222222,22.22222222222222,26.11111111111111,24.444444444444443,25.61130334486736
3,23.88888888888889,25.55555555555556,27.22222222222222,25.55555555555556,26.666666666666668,28.88888888888889,27.77777777777778,28.61111111111111,23.05555555555556,25.0,28.61111111111111,23.88888888888889,29.166666666666668,22.22222222222222,22.22222222222222,26.666666666666668,23.33333333333333,25.784313725490197
4,21.666666666666668,26.11111111111111,29.444444444444443,24.444444444444443,22.77777777777778,29.166666666666668,25.55555555555556,26.38888888888889,24.444444444444443,24.72222222222222,28.61111111111111,23.88888888888889,,20.55555555555556,23.88888888888889,25.0,23.88888888888889,25.05190311418685
5,20.0,27.77777777777778,23.33333333333333,23.33333333333333,17.77777777777778,25.83333333333333,25.0,28.05555555555556,27.5,21.38888888888889,26.11111111111111,26.11111111111111,28.05555555555556,20.55555555555556,22.77777777777778,23.33333333333333,27.22222222222222,24.362745098039216
6,28.33333333333333,28.88888888888889,20.55555555555556,22.77777777777778,17.77777777777778,25.27777777777778,28.05555555555556,29.444444444444443,24.166666666666668,21.38888888888889,22.77777777777778,28.88888888888889,25.83333333333333,22.77777777777778,23.33333333333333,23.33333333333333,26.666666666666668,24.72222222222222
7,26.666666666666668,,21.11111111111111,25.0,20.0,26.11111111111111,27.22222222222222,,22.22222222222222,23.05555555555556,24.444444444444443,28.05555555555556,26.666666666666668,25.0,22.22222222222222,23.33333333333333,24.444444444444443,24.424019607843135
8,27.22222222222222,,21.666666666666668,24.444444444444443,22.22222222222222,22.22222222222222,23.61111111111111,28.61111111111111,21.11111111111111,27.77777777777778,26.944444444444443,27.22222222222222,27.22222222222222,26.666666666666668,22.77777777777778,23.33333333333333,22.77777777777778,24.759707804690503
9,26.666666666666668,,23.88888888888889,25.0,24.444444444444443,25.55555555555556,23.05555555555556,26.666666666666668,21.944444444444443,27.77777777777778,,26.38888888888889,25.55555555555556,26.11111111111111,23.88888888888889,22.77777777777778,27.22222222222222,25.167483660130717
