,Mean T 2000,Mean T 2001,Mean T 2002,Mean T 2003,Mean T 2004,Mean T 2005,Mean T 2006,Mean T 2007,Mean T 2008,Mean T 2009,Mean T 2010,Mean T 2011,Mean T 2012,Mean T 2013,Mean T 2014,Mean T 2015,Mean T 2016,Mean
0,26.666666666666668,25.555555555555557,31.11111111111111,25.555555555555557,27.22222222222222,26.944444444444443,33.333333333333336,30.833333333333332,29.444444444444443,25.555555555555557,25.555555555555557,31.38888888888889,28.333333333333332,25.555555555555557,23.88888888888889,27.77777777777778,28.055555555555557,27.810457516339874
1,27.22222222222222,23.333333333333332,31.11111111111111,27.77777777777778,28.88888888888889,28.88888888888889,33.333333333333336,31.944444444444443,26.11111111111111,25.555555555555557,25.833333333333332,30.0,29.444444444444443,27.5,22.5,27.5,26.666666666666668,27.85947712418301
2,26.666666666666668,25.555555555555557,27.77777777777778,27.77777777777778,28.333333333333332,30.27777777777778,33.888888888888886,31.11111111111111,25.0,26.666666666666668,27.5,27.77777777777778,30.27777777777778,24.72222222222222,23.055555555555557,27.77777777777778,25.0,27.598039215686274
3,25.555555555555557,26.666666666666668,29.444444444444443,26.666666666666668,28.333333333333332,31.38888888888889,30.555555555555557,31.944444444444443,26.11111111111111,28.333333333333332,29.166666666666668,26.38888888888889,31.944444444444443,25.0,23.333333333333332,27.22222222222222,25.0,27.826797385620914
4,23.88888888888889,28.333333333333332,30.555555555555557,25.555555555555557,23.333333333333332,30.27777777777778,28.88888888888889,28.88888888888889,26.666666666666668,27.22222222222222,29.72222222222222,27.77777777777778,31.666666666666668,23.88888888888889,25.555555555555557,27.5,25.833333333333332,27.38562091503268
5,22.22222222222222,31.11111111111111,23.88888888888889,25.0,20.0,28.333333333333332,28.333333333333332,29.72222222222222,28.88888888888889,23.333333333333332,28.61111111111111,28.333333333333332,30.27777777777778,22.5,24.72222222222222,24.166666666666668,28.61111111111111,26.356209150326798
6,29.444444444444443,31.666666666666668,21.666666666666668,25.0,19.72222222222222,27.77777777777778,28.61111111111111,31.944444444444443,25.833333333333332,24.166666666666668,26.944444444444443,30.833333333333332,28.61111111111111,25.0,25.0,24.72222222222222,27.5,26.73202614379085
7,28.88888888888889,32.77777777777778,23.333333333333332,26.11111111111111,19.444444444444443,26.666666666666668,27.77777777777778,35.27777777777778,23.88888888888889,25.833333333333332,27.77777777777778,30.555555555555557,29.72222222222222,27.77777777777778,24.444444444444443,25.27777777777778,26.666666666666668,27.18954248366013
8,28.88888888888889,32.77777777777778,25.0,25.555555555555557,22.22222222222222,23.61111111111111,26.11111111111111,30.27777777777778,23.333333333333332,30.0,29.166666666666668,30.555555555555557,30.27777777777778,29.72222222222222,25.0,26.11111111111111,25.27777777777778,27.287581699346404
9,27.77777777777778,31.11111111111111,25.555555555555557,26.11111111111111,23.88888888888889,26.944444444444443,25.27777777777778,28.055555555555557,25.0,29.166666666666668,31.11111111111111,29.166666666666668,27.77777777777778,28.055555555555557,25.555555555555557,22.77777777777778,30.0,27.254901960784316
10,27.22222222222222,27.22222222222222,26.666666666666668,26.11111111111111,23.333333333333332,24.166666666666668,25.27777777777778,24.72222222222222,21.666666666666668,28.61111111111111,31.666666666666668,27.77777777777778,28.055555555555557,27.5,25.0,26.666666666666668,31.38888888888889,26.650326797385624
11,23.88888888888889,26.11111111111111,28.88888888888889,27.22222222222222,26.11111111111111,31.11111111111111,23.61111111111111,28.88888888888889,23.61111111111111,27.77777777777778,26.38888888888889,27.22222222222222,27.5,28.61111111111111,21.944444444444443,25.555555555555557,31.666666666666668,26.830065359477125
12,21.666666666666668,25.555555555555557,31.11111111111111,28.333333333333332,24.444444444444443,31.666666666666668,24.72222222222222,29.72222222222222,25.0,25.27777777777778,24.72222222222222,26.11111111111111,27.77777777777778,28.055555555555557,24.166666666666668,24.72222222222222,32.22222222222222,26.781045751633986
13,22.22222222222222,25.555555555555557,31.11111111111111,28.88888888888889,21.666666666666668,31.38888888888889,26.944444444444443,27.22222222222222,25.0,26.11111111111111,24.444444444444443,25.27777777777778,28.333333333333332,21.944444444444443,22.22222222222222,25.0,30.555555555555557,26.111111111111114
14,25.0,25.555555555555557,30.0,29.444444444444443,23.88888888888889,28.333333333333332,29.166666666666668,28.333333333333332,23.333333333333332,26.944444444444443,24.166666666666668,25.27777777777778,26.944444444444443,23.055555555555557,21.11111111111111,26.38888888888889,28.61111111111111,26.209150326797385
15,27.22222222222222,26.11111111111111,30.555555555555557,27.22222222222222,25.555555555555557,23.333333333333332,27.5,29.444444444444443,24.72222222222222,28.055555555555557,29.166666666666668,25.833333333333332,27.77777777777778,23.333333333333332,23.333333333333332,26.944444444444443,29.444444444444443,26.797385620915037
16,22.22222222222222,27.22222222222222,31.11111111111111,25.555555555555557,24.444444444444443,25.833333333333332,27.22222222222222,31.11111111111111,25.27777777777778,28.61111111111111,28.88888888888889,27.5,29.444444444444443,23.61111111111111,25.555555555555557,28.055555555555557,27.77777777777778,27.02614379084967
17,20.0,25.555555555555557,31.11111111111111,25.0,25.555555555555557,26.666666666666668,26.666666666666668,25.555555555555557,27.5,29.166666666666668,24.166666666666668,27.77777777777778,26.11111111111111,23.61111111111111,24.444444444444443,27.5,27.77777777777778,26.127450980392158
18,21.666666666666668,25.555555555555557,31.666666666666668,25.555555555555557,27.77777777777778,23.333333333333332,28.055555555555557,21.944444444444443,27.22222222222222,28.055555555555557,26.666666666666668,26.666666666666668,24.166666666666668,23.333333333333332,25.27777777777778,28.333333333333332,28.333333333333332,26.094771241830067
