,Minimum T 2000,Minimum T 2001,Minimum T 2002,Minimum T 2003,Minimum T 2004,Minimum T 2005,Minimum T 2006,Minimum T 2007,Minimum T 2008,Minimum T 2009,Minimum T 2010,Minimum T 2011,Minimum T 2012,Minimum T 2013,Minimum T 2014,Minimum T 2015,Minimum T 2016,Mean
0,23.33333333333333,20.0,26.11111111111111,23.33333333333333,23.88888888888889,23.33333333333333,28.33333333333333,25.55555555555556,24.444444444444443,21.666666666666668,22.22222222222222,24.444444444444443,25.0,21.11111111111111,20.0,23.33333333333333,24.444444444444443,23.562091503267975
1,23.33333333333333,17.22222222222222,25.0,23.88888888888889,25.0,23.33333333333333,28.33333333333333,26.11111111111111,21.11111111111111,22.77777777777778,22.77777777777778,24.444444444444443,25.0,22.22222222222222,18.88888888888889,22.77777777777778,23.33333333333333,23.267973856209146
2,22.77777777777778,20.0,21.11111111111111,23.88888888888889,24.444444444444443,26.11111111111111,28.88888888888889,25.55555555555556,20.55555555555556,22.77777777777778,23.88888888888889,24.444444444444443,25.55555555555556,21.666666666666668,19.444444444444443,21.666666666666668,21.666666666666668,23.20261437908497
3,21.666666666666668,23.33333333333333,23.33333333333333,23.33333333333333,22.22222222222222,26.11111111111111,27.22222222222222,26.11111111111111,21.11111111111111,23.88888888888889,23.88888888888889,24.444444444444443,27.77777777777778,21.11111111111111,17.77777777777778,21.11111111111111,21.11111111111111,23.26797385620915
4,20.0,23.88888888888889,25.0,21.11111111111111,21.666666666666668,24.444444444444443,24.444444444444443,24.444444444444443,23.33333333333333,24.444444444444443,25.0,23.33333333333333,26.11111111111111,19.444444444444443,20.55555555555556,23.33333333333333,22.77777777777778,23.137254901960784
5,20.0,25.55555555555556,20.0,20.55555555555556,16.666666666666668,24.444444444444443,23.33333333333333,24.444444444444443,24.444444444444443,20.55555555555556,24.444444444444443,24.444444444444443,26.666666666666668,21.11111111111111,21.11111111111111,20.55555555555556,24.444444444444443,22.516339869281047
6,23.88888888888889,26.11111111111111,17.22222222222222,23.33333333333333,16.11111111111111,25.0,21.666666666666668,27.77777777777778,20.55555555555556,19.444444444444443,22.77777777777778,26.11111111111111,25.0,21.666666666666668,21.666666666666668,21.11111111111111,23.33333333333333,22.516339869281047
7,24.444444444444443,27.77777777777778,18.33333333333333,22.22222222222222,11.666666666666666,21.11111111111111,24.444444444444443,29.444444444444443,18.88888888888889,22.22222222222222,22.77777777777778,26.666666666666668,26.11111111111111,22.77777777777778,20.0,21.666666666666668,22.77777777777778,22.549019607843135
8,24.444444444444443,27.22222222222222,20.0,22.22222222222222,14.444444444444445,22.22222222222222,21.11111111111111,25.0,18.33333333333333,24.444444444444443,23.88888888888889,26.666666666666668,26.11111111111111,26.11111111111111,21.11111111111111,22.22222222222222,21.666666666666668,22.77777777777778
9,23.88888888888889,25.0,19.444444444444443,22.22222222222222,17.77777777777778,22.77777777777778,22.77777777777778,21.666666666666668,19.444444444444443,22.22222222222222,25.55555555555556,25.0,23.33333333333333,25.0,21.11111111111111,21.11111111111111,25.55555555555556,22.581699346405227
10,23.33333333333333,23.33333333333333,20.0,23.33333333333333,16.11111111111111,23.33333333333333,21.666666666666668,18.33333333333333,17.22222222222222,24.444444444444443,27.77777777777778,23.88888888888889,22.77777777777778,24.444444444444443,21.666666666666668,21.666666666666668,26.666666666666668,22.35294117647059
11,19.444444444444443,23.33333333333333,22.77777777777778,22.77777777777778,22.22222222222222,26.11111111111111,18.33333333333333,22.22222222222222,18.33333333333333,23.88888888888889,22.77777777777778,22.77777777777778,23.33333333333333,24.444444444444443,20.0,21.666666666666668,27.77777777777778,22.48366013071895
12,19.444444444444443,21.11111111111111,26.11111111111111,25.0,21.666666666666668,26.666666666666668,18.88888888888889,25.0,19.444444444444443,21.11111111111111,23.33333333333333,22.77777777777778,23.33333333333333,24.444444444444443,20.0,20.55555555555556,27.22222222222222,22.712418300653596
13,19.444444444444443,22.22222222222222,25.55555555555556,24.444444444444443,19.444444444444443,26.11111111111111,20.0,22.77777777777778,20.0,22.77777777777778,21.666666666666668,22.22222222222222,24.444444444444443,18.33333333333333,16.666666666666668,19.444444444444443,24.444444444444443,21.764705882352942
14,20.0,21.666666666666668,25.0,25.0,19.444444444444443,25.0,25.55555555555556,21.11111111111111,18.88888888888889,22.77777777777778,22.77777777777778,22.22222222222222,23.33333333333333,18.33333333333333,16.666666666666668,21.11111111111111,23.33333333333333,21.895424836601304
15,22.77777777777778,21.666666666666668,25.55555555555556,21.11111111111111,21.666666666666668,21.666666666666668,22.77777777777778,24.444444444444443,20.0,22.77777777777778,23.88888888888889,21.11111111111111,22.77777777777778,18.88888888888889,18.33333333333333,21.11111111111111,23.33333333333333,21.993464052287578
16,18.33333333333333,23.33333333333333,27.22222222222222,20.55555555555556,20.55555555555556,20.0,22.22222222222222,26.11111111111111,18.88888888888889,23.88888888888889,25.0,22.77777777777778,23.33333333333333,18.88888888888889,20.55555555555556,22.77777777777778,22.22222222222222,22.156862745098042
17,17.22222222222222,21.666666666666668,25.55555555555556,21.11111111111111,21.11111111111111,22.22222222222222,22.22222222222222,22.22222222222222,21.11111111111111,23.88888888888889,20.55555555555556,22.22222222222222,22.22222222222222,21.11111111111111,21.11111111111111,23.88888888888889,23.33333333333333,21.9281045751634
18,17.22222222222222,23.33333333333333,26.666666666666668,21.11111111111111,22.22222222222222,21.11111111111111,23.88888888888889,19.444444444444443,21.11111111111111,23.88888888888889,22.77777777777778,22.77777777777778,22.22222222222222,20.0,21.666666666666668,24.444444444444443,24.444444444444443,22.254901960784313
